"term","hr","lo","hi","p","stratum","def","domain","n_pt","events"
"zbmi",0.999229801436633,0.862506445700914,1.157626358685,0.99181117893696,"onset","confirmed","D3 prior-only AF and dialysis",21637,250
"eglt30",2.49079514149683,1.37160634372621,4.52320774490573,0.00271705568068663,"onset","confirmed","D3 prior-only AF and dialysis",21637,250
"eg30to60",1.7069987867723,1.20196181114505,2.42424079619154,0.00280944814325847,"onset","confirmed","D3 prior-only AF and dialysis",21637,250
"af_prior",0.824499829112057,0.530581911668953,1.2812347222081,0.390856214795276,"onset","confirmed","D3 prior-only AF and dialysis",21637,250
"esrd_prior",3.4599422539327,1.62339825916133,7.37416116654788,0.00130464971719498,"onset","confirmed","D3 prior-only AF and dialysis",21637,250
"age10",1.3301322204264,0.996357670585757,1.77571947910666,0.0529600692775578,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"male",0.525987423666295,0.281878107180759,0.981497898585265,0.043520646506502,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"av_catmild",2.15847920484077,0.99937729485439,4.66193548894753,0.050181395418376,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"av_catmod",8.8614300949203,3.20793148935854,24.4783729289871,2.57107777062025e-05,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"av_catsev",10.875893048213,1.97209410189076,59.9794145131111,0.006152518198529,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"ef_catlt40",0.353922498156465,0.0739275243050703,1.6943775120131,0.193597252634685,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"ef_cat40to49",0.537089768831561,0.11573469011666,2.492471526841,0.427334346268496,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"zE",1.60120985647238,1.27247518762905,2.01487072548854,5.938050140937e-05,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
"zla",1.1290149997806,0.708923288925625,1.7980434408656,0.60928836015674,"onset","confirmed","D5 prior-only coded diagnoses",5421,57
