"cohort","definition","characteristic","main_model","cloglog_unsplit","cox","confirmed_dated_at_confirming_echo","confirmed_first_report_only","diagnosis_codes_from_completed_admissions"
"onset","confirmed","Body mass index, per SD","1.01 (0.87–1.17)","1.01 (0.87–1.17)","1.01 (0.87–1.17)","1.01 (0.87–1.17)","0.98 (0.84–1.15)","1.00 (0.86–1.16)"
"onset","confirmed","Atrial fibrillation or flutter","0.80 (0.54–1.20)","0.79 (0.53–1.18)","0.80 (0.54–1.20)","0.83 (0.55–1.24)","0.90 (0.59–1.37)","0.82 (0.53–1.28)"
"onset","confirmed","eGFR 30–59 vs ≥60","1.68 (1.18–2.39)","1.66 (1.17–2.38)","1.69 (1.19–2.40)","1.70 (1.20–2.42)","1.69 (1.13–2.52)","1.71 (1.20–2.42)"
"onset","confirmed","eGFR <30 vs ≥60","1.89 (0.98–3.65)","1.78 (0.92–3.46)","1.90 (0.98–3.69)","1.98 (1.02–3.85)","2.11 (1.09–4.08)","2.49 (1.37–4.52)"
"onset","confirmed","Dialysis dependence","4.74 (2.35–9.56)","4.80 (2.33–9.87)","4.76 (2.34–9.67)","4.68 (2.30–9.50)","4.61 (2.26–9.40)","3.46 (1.62–7.37)"
"onset","confirmed","Diabetes","1.26 (0.69–2.32)","","","","","1.36 (0.75–2.49)"
"onset","confirmed","Hypertension","1.90 (0.72–5.00)","","","","","1.45 (0.64–3.28)"
"onset","confirmed","Coronary artery disease","0.74 (0.38–1.43)","","","","","0.50 (0.23–1.08)"
"progression","first-observed","Age, per 10 years","1.26 (1.19–1.34)","1.25 (1.17–1.34)","1.27 (1.19–1.35)","","","1.25 (1.18–1.33)"
"progression","first-observed","Male sex","0.73 (0.65–0.82)","0.69 (0.61–0.79)","0.73 (0.65–0.82)","","","0.73 (0.65–0.82)"
"progression","first-observed","Aortic valve calcification, mild vs none","1.04 (0.88–1.22)","1.06 (0.88–1.27)","1.04 (0.88–1.22)","","","1.03 (0.88–1.22)"
"progression","first-observed","Aortic valve calcification, moderate vs none","2.14 (1.75–2.61)","2.24 (1.78–2.81)","2.14 (1.75–2.61)","","","2.13 (1.74–2.60)"
"progression","first-observed","Aortic valve calcification, severe vs none","3.07 (2.30–4.10)","3.36 (2.32–4.89)","3.05 (2.29–4.06)","","","3.07 (2.31–4.09)"
"progression","first-observed","LVEF <40% vs ≥50%","0.76 (0.61–0.94)","0.70 (0.55–0.90)","0.76 (0.61–0.94)","","","0.75 (0.61–0.93)"
"progression","first-observed","LVEF 40–49% vs ≥50%","0.92 (0.75–1.12)","0.88 (0.69–1.12)","0.92 (0.75–1.12)","","","0.92 (0.75–1.12)"
"progression","first-observed","E/e', per SD","1.25 (1.19–1.31)","1.26 (1.19–1.35)","1.25 (1.19–1.31)","","","1.25 (1.19–1.31)"
"progression","first-observed","Left atrial dimension, per SD","1.10 (1.04–1.17)","1.11 (1.04–1.19)","1.10 (1.04–1.17)","","","1.10 (1.04–1.17)"
"progression","first-observed","Septal wall thickness, per SD","1.10 (1.04–1.16)","1.10 (1.03–1.18)","1.10 (1.04–1.16)","","","1.10 (1.04–1.16)"
"progression","first-observed","Body mass index, per SD","1.05 (0.99–1.11)","1.05 (0.98–1.13)","1.05 (0.99–1.11)","","","1.04 (0.98–1.11)"
"progression","first-observed","Atrial fibrillation or flutter","0.94 (0.82–1.07)","0.92 (0.79–1.08)","0.94 (0.82–1.07)","","","0.94 (0.81–1.09)"
"progression","first-observed","eGFR 30–59 vs ≥60","1.16 (1.00–1.34)","1.14 (0.97–1.34)","1.16 (1.00–1.33)","","","1.16 (1.01–1.34)"
"progression","first-observed","eGFR <30 vs ≥60","1.89 (1.49–2.39)","1.93 (1.47–2.53)","1.88 (1.48–2.39)","","","2.12 (1.70–2.64)"
"progression","first-observed","Dialysis dependence","1.58 (1.13–2.21)","1.57 (1.01–2.43)","1.58 (1.13–2.20)","","","1.17 (0.80–1.72)"
"progression","first-observed","Diabetes","1.61 (1.28–2.02)","","","","","1.63 (1.30–2.05)"
"progression","first-observed","Hypertension","0.97 (0.72–1.32)","","","","","1.05 (0.80–1.37)"
"progression","first-observed","Coronary artery disease","0.93 (0.74–1.16)","","","","","0.95 (0.75–1.20)"
"progression","confirmed","Age, per 10 years","1.03 (0.93–1.14)","1.01 (0.91–1.13)","1.04 (0.94–1.15)","1.09 (0.98–1.21)","1.09 (0.98–1.22)","1.01 (0.91–1.12)"
"progression","confirmed","Male sex","0.62 (0.50–0.76)","0.60 (0.49–0.74)","0.62 (0.51–0.76)","0.63 (0.51–0.77)","0.59 (0.48–0.74)","0.62 (0.50–0.75)"
"progression","confirmed","Aortic valve calcification, mild vs none","1.31 (0.96–1.78)","1.33 (0.97–1.82)","1.30 (0.96–1.77)","1.24 (0.91–1.68)","1.30 (0.94–1.79)","1.30 (0.96–1.77)"
"progression","confirmed","Aortic valve calcification, moderate vs none","3.13 (2.18–4.50)","3.15 (2.16–4.58)","3.12 (2.18–4.49)","2.99 (2.08–4.30)","2.91 (1.98–4.30)","3.13 (2.17–4.50)"
"progression","confirmed","Aortic valve calcification, severe vs none","5.44 (3.38–8.75)","5.59 (3.35–9.35)","5.40 (3.36–8.68)","5.75 (3.54–9.35)","5.11 (3.07–8.51)","5.43 (3.37–8.76)"
"progression","confirmed","LVEF <40% vs ≥50%","0.44 (0.28–0.69)","0.42 (0.27–0.67)","0.44 (0.28–0.69)","0.47 (0.30–0.73)","0.48 (0.30–0.76)","0.44 (0.28–0.69)"
"progression","confirmed","LVEF 40–49% vs ≥50%","0.70 (0.47–1.05)","0.68 (0.45–1.04)","0.70 (0.47–1.04)","0.73 (0.48–1.10)","0.72 (0.47–1.09)","0.70 (0.47–1.05)"
"progression","confirmed","E/e', per SD","1.33 (1.22–1.44)","1.33 (1.22–1.45)","1.33 (1.22–1.44)","1.33 (1.23–1.44)","1.32 (1.22–1.44)","1.33 (1.23–1.44)"
"progression","confirmed","Left atrial dimension, per SD","1.11 (1.01–1.23)","1.12 (1.01–1.24)","1.11 (1.01–1.23)","1.10 (0.99–1.22)","1.13 (1.02–1.26)","1.10 (1.00–1.22)"
"progression","confirmed","Septal wall thickness, per SD","1.12 (1.01–1.23)","1.11 (1.00–1.23)","1.11 (1.01–1.23)","1.12 (1.01–1.24)","1.15 (1.03–1.27)","1.12 (1.01–1.24)"
"progression","confirmed","Body mass index, per SD","1.04 (0.95–1.15)","1.05 (0.94–1.16)","1.04 (0.95–1.15)","1.05 (0.95–1.16)","1.07 (0.96–1.18)","1.04 (0.94–1.14)"
"progression","confirmed","Atrial fibrillation or flutter","0.82 (0.64–1.05)","0.81 (0.62–1.05)","0.82 (0.63–1.05)","0.85 (0.66–1.10)","0.75 (0.57–0.98)","0.93 (0.71–1.21)"
"progression","confirmed","eGFR 30–59 vs ≥60","1.24 (0.96–1.61)","1.23 (0.94–1.62)","1.24 (0.95–1.60)","1.27 (0.98–1.65)","1.24 (0.94–1.64)","1.25 (0.97–1.62)"
"progression","confirmed","eGFR <30 vs ≥60","1.59 (1.03–2.45)","1.59 (1.01–2.50)","1.59 (1.03–2.45)","1.71 (1.10–2.65)","1.65 (1.04–2.62)","1.92 (1.30–2.83)"
"progression","confirmed","Dialysis dependence","1.63 (0.90–2.96)","1.57 (0.83–2.95)","1.63 (0.90–2.95)","1.83 (1.00–3.34)","1.72 (0.93–3.20)","0.87 (0.42–1.80)"
"progression","confirmed","Diabetes","1.65 (1.09–2.48)","","","","","1.82 (1.22–2.74)"
"progression","confirmed","Hypertension","1.06 (0.58–1.93)","","","","","1.05 (0.62–1.78)"
"progression","confirmed","Coronary artery disease","0.76 (0.49–1.18)","","","","","0.76 (0.49–1.18)"
